fix,mode,d_cm,bearing_deg,rel_deg,trend,closing_cm_per_5s,period_ms,gain_l,gain_r,held
443,beep,17823,103.991,24.58,1,634,1088,18204,27245,0
444,beep,17645,104.135,27.35,1,636,1088,18204,27245,0
445,beep,17488,104.501,24.30,1,604,1088,18204,27245,0
446,beep,17440,103.929,28.41,1,597,1088,18204,27245,0
447,beep,17246,104.342,31.60,1,629,1088,18204,27245,0
448,beep,17115,104.358,22.77,1,648,1088,18204,27245,0
449,beep,17127,104.189,22.24,1,616,1088,18204,27245,0
450,beep,16972,104.464,30.91,1,591,1088,18204,27245,0
451,beep,16718,104.735,18.56,1,623,1088,18204,27245,0
452,beep,16807,105.088,20.33,1,577,1088,18204,27245,0
453,beep,16825,104.924,19.55,1,505,1088,18204,27245,0
454,beep,16665,104.566,28.44,1,494,1088,18204,27245,0
455,beep,16513,105.522,31.34,1,485,1088,18204,27245,0
456,beep,16358,105.848,26.85,1,454,915,18204,27245,0
457,beep,16425,105.984,18.22,1,436,1088,18204,27245,0
458,beep,15934,106.716,31.04,1,550,915,18204,27245,0
459,beep,15927,106.498,28.63,1,597,915,18204,27245,0
460,beep,15786,106.620,19.23,1,629,915,18204,27245,0
461,beep,15866,106.541,32.54,1,595,915,18204,27245,0
462,beep,15702,106.970,18.81,1,627,915,18204,27245,0
463,beep,15505,107.038,20.72,1,577,915,18204,27245,0
464,beep,15366,106.975,23.46,1,573,915,18204,27245,0
465,beep,15308,107.409,23.99,1,549,915,18204,27245,0
466,beep,15187,107.608,24.25,1,581,915,18204,27245,0
467,beep,15092,107.754,27.72,1,588,915,18204,27245,0
468,beep,15043,108.387,27.79,1,557,915,18204,27245,0
469,beep,14936,108.620,25.09,1,525,915,18204,27245,0
470,beep,14744,108.232,33.96,1,535,915,12539,30273,0
471,beep,14636,109.116,23.48,1,539,915,18204,27245,0
472,beep,14520,109.810,35.18,1,547,915,12539,30273,0
473,beep,14374,109.254,29.09,1,577,915,18204,27245,0
474,beep,14417,110.060,42.83,1,563,915,12539,30273,0
475,beep,14389,109.520,29.19,1,511,915,18204,27245,0
476,beep,14077,110.131,27.93,1,523,915,18204,27245,0
477,beep,13961,110.057,24.90,1,532,915,18204,27245,0
478,beep,13651,110.134,36.21,1,579,915,12539,30273,0
479,beep,13661,111.263,27.38,1,623,915,18204,27245,0
480,beep,13477,111.188,23.60,1,695,915,18204,27245,0
481,beep,13373,111.435,33.88,1,697,915,12539,30273,0
482,beep,13332,112.263,37.59,1,680,915,12539,30273,0
483,beep,13322,112.189,34.04,1,592,915,12539,30273,0
484,beep,12922,112.568,32.11,1,629,915,18204,27245,0
485,beep,12933,112.796,31.26,1,608,915,18204,27245,0
486,beep,12857,113.429,34.07,1,585,915,12539,30273,0
487,beep,12800,113.926,33.91,1,571,915,12539,30273,0
488,beep,12546,113.760,26.60,1,622,915,18204,27245,0
489,beep,12440,114.497,34.30,1,587,915,12539,30273,0
490,beep,12430,114.615,37.13,1,566,915,12539,30273,0
491,beep,12330,115.119,31.53,1,556,915,18204,27245,0
492,beep,12316,114.770,35.81,1,538,915,12539,30273,0
493,beep,12039,116.352,35.83,1,530,769,12539,30273,0
494,beep,11957,116.158,30.08,1,518,769,18204,27245,0
495,beep,11892,117.233,34.49,1,523,769,12539,30273,0
496,beep,11794,117.134,40.10,1,526,769,12539,30273,0
497,beep,11770,117.876,35.42,1,531,769,12539,30273,0
498,beep,11700,118.241,45.64,1,483,769,12539,30273,0
499,beep,11707,118.270,38.98,1,425,769,12539,30273,0
500,beep,11413,118.941,35.40,1,438,769,12539,30273,0
501,beep,11382,118.889,38.73,1,431,769,12539,30273,0
502,beep,11115,119.642,35.13,1,487,769,12539,30273,0
503,beep,11218,119.337,44.40,1,486,769,12539,30273,0
504,beep,10826,120.018,39.53,1,584,769,12539,30273,0
505,beep,10834,120.416,36.38,1,583,769,12539,30273,0
506,beep,10644,121.480,45.09,1,622,769,12539,30273,0
507,beep,10537,121.740,40.02,1,611,769,12539,30273,0
508,beep,10510,121.364,35.54,1,635,769,12539,30273,0
509,beep,10341,121.537,44.72,1,597,769,12539,30273,0
510,beep,10214,122.196,47.65,1,603,769,12539,30273,0
511,beep,10178,123.173,41.38,1,568,769,12539,30273,0
512,beep,9972,122.963,44.66,1,567,769,12539,30273,0
513,beep,9979,123.888,43.03,1,558,769,12539,30273,0
514,beep,9957,125.133,51.75,1,515,769,12539,30273,0
515,beep,9795,125.455,42.78,1,491,769,12539,30273,0
516,beep,9507,125.163,48.32,1,536,769,12539,30273,0
517,beep,9575,125.800,44.76,1,501,769,12539,30273,0
518,beep,9509,126.236,49.50,1,493,769,12539,30273,0
519,beep,9370,126.464,41.58,1,516,769,12539,30273,0
520,beep,9363,128.365,51.41,1,495,769,12539,30273,0
521,beep,9128,128.569,50.57,1,466,769,12539,30273,0
522,beep,8903,129.777,45.16,1,517,769,12539,30273,0
523,beep,8954,130.557,50.99,1,527,769,12539,30273,0
524,beep,8924,130.614,44.64,1,506,769,12539,30273,0
525,beep,8732,130.653,48.95,1,537,769,12539,30273,0
526,beep,8783,132.421,60.04,1,489,769,6393,32137,0
527,beep,8759,132.627,51.48,1,403,769,12539,30273,0
528,beep,8560,133.239,62.71,1,401,769,6393,32137,0
529,beep,8454,134.602,49.37,1,418,769,12539,30273,0
530,beep,8343,134.786,54.51,1,410,769,12539,30273,0
531,beep,8423,135.885,5.27,1,398,769,23170,23170,0
532,beep,8211,134.521,346.08,1,435,769,27245,18204,0
533,beep,8089,134.870,343.65,1,444,647,27245,18204,0
534,beep,7919,134.637,343.87,1,467,647,27245,18204,0
535,beep,7874,133.919,346.80,1,467,647,27245,18204,0
536,beep,7604,134.137,337.76,1,555,647,27245,18204,0
537,beep,7590,135.309,340.50,1,571,647,27245,18204,0
538,beep,7473,135.314,344.76,1,582,647,27245,18204,0
539,beep,7082,134.096,348.78,1,646,647,23170,23170,0
540,beep,7279,134.148,349.78,1,633,647,23170,23170,0
541,beep,7052,133.955,342.55,1,613,647,27245,18204,0
542,beep,6855,133.540,346.11,1,643,647,27245,18204,0
543,beep,6867,133.755,345.39,1,634,647,27245,18204,0
544,beep,6706,131.663,340.07,1,569,647,27245,18204,0
545,beep,6609,132.983,342.11,1,594,647,27245,18204,0
546,beep,6327,130.956,336.77,1,627,647,27245,18204,0
547,beep,6298,130.376,349.17,1,609,647,23170,23170,0
548,beep,6168,131.648,344.78,1,632,647,27245,18204,0
549,beep,5966,128.699,335.17,1,659,544,27245,18204,0
550,beep,5961,130.373,339.21,1,656,544,27245,18204,0
551,beep,5807,130.299,344.70,1,622,544,27245,18204,0
552,beep,5657,129.362,334.17,1,626,544,27245,18204,0
553,beep,5390,126.687,334.90,1,664,544,27245,18204,0
554,beep,5383,127.323,333.80,1,644,544,27245,18204,0
555,beep,5331,125.556,336.01,1,640,544,27245,18204,0
556,beep,5251,126.723,346.64,1,619,544,27245,18204,0
557,beep,5191,124.649,333.55,1,581,544,27245,18204,0
558,beep,5092,124.227,331.67,1,510,544,27245,18204,0
559,beep,4904,124.574,331.47,1,502,544,27245,18204,0
560,beep,4707,121.968,335.33,1,532,544,27245,18204,0
561,beep,4682,122.448,336.42,1,541,544,27245,18204,0
562,beep,4492,123.357,337.34,1,581,544,27245,18204,0
563,beep,4396,121.456,337.90,1,609,544,27245,18204,0
564,beep,4185,121.537,339.95,1,637,544,27245,18204,0
565,beep,4289,119.763,325.25,1,582,544,30273,12539,0
566,beep,3963,118.434,333.40,1,616,457,27245,18204,0
567,beep,4134,117.284,329.35,1,551,544,27245,18204,0
568,beep,3965,117.017,333.46,1,521,457,27245,18204,0
569,beep,3756,115.146,320.92,1,498,457,30273,12539,0
570,beep,3734,112.217,323.91,1,512,457,30273,12539,0
571,beep,3496,112.346,317.59,1,501,457,30273,12539,0
572,beep,3406,111.745,316.91,1,557,457,30273,12539,0
573,beep,3432,110.325,317.23,1,551,457,30273,12539,0
574,beep,3172,109.120,320.58,1,559,457,30273,12539,0
575,beep,3246,106.118,319.40,1,541,457,30273,12539,0
576,beep,3103,105.995,318.00,1,504,457,30273,12539,0
577,beep,3144,103.837,309.28,1,443,457,30273,12539,0
578,beep,2950,103.466,315.04,1,453,385,30273,12539,0
579,beep,2826,101.326,301.81,1,426,385,32137,6393,0
580,beep,2785,102.145,306.03,1,435,385,30273,12539,0
581,beep,2661,94.182,299.64,1,436,385,32137,6393,0
582,beep,2549,92.159,303.97,1,476,385,30273,12539,0
583,beep,2629,88.562,298.84,1,437,385,32137,6393,0
584,beep,2434,86.608,296.13,1,426,385,32137,6393,0
585,beep,2376,79.550,291.09,1,421,385,32137,6393,0
586,beep,2276,77.979,294.01,1,412,385,32137,6393,0
587,beep,2230,72.702,283.54,1,389,385,32137,6393,0
588,beep,2384,71.231,283.29,1,353,385,32137,6393,0
589,beep,2172,66.384,272.94,1,330,385,32767,0,0
590,beep,2191,61.387,267.40,1,294,385,32767,0,0
591,beep,2243,58.322,266.11,1,228,385,32767,0,0
592,beep,2240,54.962,266.02,1,169,385,32767,0,0
593,beep,2056,52.310,301.02,1,208,385,32137,6393,0
594,beep,2226,51.183,303.25,1,143,385,32137,6393,0
595,beep,2021,49.937,299.88,1,149,323,32137,6393,0
596,beep,2028,45.440,288.12,1,166,323,32137,6393,0
597,beep,1867,41.829,287.73,1,217,323,32137,6393,0
598,beep,1993,39.258,284.36,1,179,323,32137,6393,0
599,beep,1917,35.573,284.49,1,211,323,32137,6393,0
600,beep,1893,30.507,286.84,1,190,323,32137,6393,0
601,beep,1846,26.898,280.41,1,188,323,32767,0,0
602,beep,1757,24.377,262.70,1,168,323,32767,0,0
603,beep,1674,22.150,269.36,1,206,323,32767,0,0
604,beep,1808,17.443,262.53,1,182,323,32767,0,0
605,beep,1936,7.418,258.04,1,125,323,32137,-6393,0
606,beep,1866,8.690,252.38,0,89,323,32137,-6393,0
607,beep,1791,0.960,248.82,0,58,323,32137,-6393,0
608,beep,1830,0.752,245.00,0,4,323,32137,-6393,0
609,beep,2036,355.239,240.77,0,-54,323,32137,-6393,0
610,beep,2107,349.970,238.22,0,-83,385,32137,-6393,0
611,beep,2261,342.975,221.47,0,-161,385,9000,9000,0
612,beep,2495,350.333,241.73,-1,-297,385,32137,-6393,0
613,beep,2379,345.840,227.58,-1,-360,385,9000,9000,0
614,beep,2554,342.330,229.87,-1,-400,385,9000,9000,0
615,beep,2658,337.739,228.06,-1,-438,385,9000,9000,0
616,beep,2628,338.178,221.86,-1,-420,385,9000,9000,0
617,beep,2682,333.282,220.83,-1,-362,385,9000,9000,0
618,beep,2741,331.995,215.68,-1,-362,385,9000,9000,0
619,beep,2837,332.043,210.47,-1,-342,385,9000,9000,0
620,beep,2978,329.534,213.27,-1,-337,385,9000,9000,0
621,beep,3214,328.990,205.74,-1,-399,457,9000,9000,0
622,beep,3428,327.279,218.17,-1,-486,457,9000,9000,0
623,beep,3555,327.347,214.02,-1,-568,457,9000,9000,0
624,beep,3405,325.143,214.93,-1,-568,457,9000,9000,0
625,beep,3569,325.710,208.37,-1,-574,457,9000,9000,0
626,beep,3683,325.141,214.22,-1,-548,457,9000,9000,0
627,beep,3753,322.708,208.52,-1,-492,457,9000,9000,0
628,beep,3936,323.648,194.82,-1,-465,457,9000,9000,0
629,beep,4089,321.423,208.00,-1,-520,457,9000,9000,0
630,beep,4317,320.639,275.73,-1,-577,544,32767,0,0
631,beep,4101,320.382,338.75,-1,-537,544,27245,18204,0
632,beep,4149,318.850,337.71,-1,-502,544,27245,18204,0
633,beep,3920,318.465,341.57,-1,-373,457,27245,18204,0
634,beep,3890,317.375,348.02,-1,-230,457,27245,18204,0
635,beep,3573,315.555,333.20,0,14,457,27245,18204,0
636,beep,3456,316.008,333.41,0,171,457,27245,18204,0
637,beep,3438,316.532,333.32,1,306,457,27245,18204,0
638,beep,3145,313.789,339.59,1,423,457,27245,18204,0
639,beep,3074,314.354,335.81,1,521,457,27245,18204,0
640,beep,2986,310.395,330.50,1,538,385,27245,18204,0
641,beep,2818,308.313,329.99,1,563,385,27245,18204,0
642,beep,2726,307.488,328.95,1,600,385,27245,18204,0
643,beep,2735,306.661,319.56,1,552,385,30273,12539,0
644,beep,2520,308.589,332.93,1,553,385,27245,18204,0
645,beep,2379,305.193,325.50,1,566,385,30273,12539,0
646,beep,2447,304.274,326.48,1,517,385,27245,18204,0
647,beep,2200,302.809,325.09,1,519,385,30273,12539,0
648,beep,2100,298.909,313.96,1,548,385,30273,12539,0
649,beep,1996,297.476,321.62,1,542,323,30273,12539,0
650,beep,1986,296.204,315.37,1,505,323,30273,12539,0
651,beep,1737,290.030,311.27,1,556,323,30273,12539,0
652,beep,1685,288.371,308.89,1,545,323,30273,12539,0
653,beep,1525,283.618,309.40,1,553,272,30273,12539,0
654,beep,1446,279.918,304.46,1,552,272,30273,12539,0
655,beep,1548,275.449,289.64,1,523,323,32137,6393,0
656,beep,1410,270.529,283.67,1,474,272,32137,6393,0
657,beep,1285,261.498,277.68,1,456,272,32767,0,0
658,beep,1276,261.342,282.54,1,404,272,32137,6393,0
659,beep,1300,254.103,275.46,1,339,272,32767,0,0
660,beep,1322,252.209,274.79,1,311,272,32767,0,0
661,beep,1377,240.065,261.26,1,241,272,32767,0,0
662,beep,1417,234.884,253.24,1,148,272,32137,-6393,0
663,beep,1429,228.745,244.48,0,73,272,32137,-6393,0
664,beep,1338,227.029,345.34,0,45,272,27245,18204,0
665,beep,1223,217.590,350.99,0,58,272,23170,23170,0
666,beep,1025,222.627,5.39,0,132,272,23170,23170,0
667,beep,955,219.689,350.19,0,214,229,23170,23170,0
668,beep,775,216.766,2.00,1,324,229,23170,23170,0
669,beep,704,227.128,4.23,1,401,192,23170,23170,0
670,found,368,203.707,343.50,1,515,136,27245,18204,0
671,found,229,209.593,357.33,1,585,120,23170,23170,0
672,found,232,176.794,314.37,1,619,120,30273,12539,0
673,found,153,131.285,271.23,1,620,120,32767,0,0
674,found,186,84.444,226.31,1,594,120,9000,9000,0
675,found,364,64.427,199.29,1,447,136,9000,9000,0
676,found,328,83.524,13.17,1,310,136,23170,23170,0
677,found,456,66.636,291.04,1,176,162,23170,23170,0
678,found,393,59.581,14.78,0,72,162,23170,23170,0
679,found,447,49.719,125.33,0,-11,162,23170,23170,0
680,found,459,57.172,140.98,0,-32,162,23170,23170,0
681,found,535,50.686,341.58,0,-76,192,23170,23170,0
682,found,460,49.411,247.01,0,-58,162,23170,23170,0
683,found,486,62.168,227.77,0,-67,162,23170,23170,0
684,found,440,37.701,109.05,0,-49,162,23170,23170,0
685,found,394,30.541,208.92,0,-20,162,23170,23170,0
686,found,491,57.057,260.54,0,-4,162,23170,23170,0
687,found,352,64.958,184.44,0,24,136,23170,23170,0
688,found,431,46.031,2.02,0,31,162,23170,23170,0
689,found,326,46.370,252.54,0,52,136,23170,23170,0
690,found,329,12.978,117.58,0,55,136,23170,23170,0
691,found,366,20.459,298.54,0,72,136,23170,23170,0
692,found,420,51.382,301.94,0,37,162,23170,23170,0
693,found,252,21.673,160.84,0,72,120,23170,23170,0
694,found,263,31.943,344.39,0,70,136,23170,23170,0
695,found,250,16.037,143.26,0,72,120,23170,23170,0
696,found,255,35.244,7.92,0,82,120,23170,23170,0
697,found,403,58.913,268.20,0,65,162,23170,23170,0
698,found,343,42.163,357.41,0,26,136,23170,23170,0
699,found,405,52.418,83.60,0,-16,162,23170,23170,0
700,found,389,56.963,150.01,0,-47,162,23170,23170,0
701,found,380,54.763,334.45,0,-66,136,23170,23170,0
