i,utc_s,fix,true_lat,true_lon,rep_lat,rep_lon,nmea_lat,nmea_lon,knots,cog,corrupted
235,37135,True,1.345782862,103.816586391,1.345771186,103.816570168,0120.74627N,10348.99421E,2.608928895,95.642018726,False
236,37136,True,1.345779715,103.816597646,1.345768858,103.816561808,0120.74613N,10348.99371E,2.241633733,111.773659191,False
237,37137,True,1.345776569,103.816608902,1.345751975,103.816577324,0120.74512N,10348.99464E,2.625596743,108.861444486,False
238,37138,True,1.345773422,103.816620157,1.345761122,103.816591794,0120.74567N,10348.99551E,2.247936190,110.844280802,False
239,37139,True,1.345770275,103.816631412,1.345773286,103.816630256,0120.74640N,10348.99782E,2.095122766,107.017468290,False
240,37140,True,1.345767129,103.816642667,1.345742511,103.816629897,0120.74455N,10348.99779E,2.398686930,93.698010801,False
241,37141,True,1.345763982,103.816653922,1.345742402,103.816635232,0120.74454N,10348.99811E,2.636058999,104.715687116,False
242,37142,True,1.345760836,103.816665177,1.345741549,103.816621109,0120.74449N,10348.99727E,2.389341865,105.582644719,False
243,37143,True,1.345757689,103.816676432,1.345749570,103.816653008,0120.74497N,10348.99918E,2.378142734,105.108308702,False
244,37144,True,1.345754542,103.816687688,1.345750531,103.816667515,0120.74503N,10349.00005E,2.417697629,96.812176089,False
245,37145,True,1.345751396,103.816698943,1.345741661,103.816672571,0120.74450N,10349.00035E,2.323106348,102.718212826,False
246,37146,True,1.345748249,103.816710198,1.345738629,103.816670076,0120.74432N,10349.00020E,2.663065587,106.817455731,False
247,37147,True,1.345745103,103.816721453,1.345740533,103.816693306,0120.74443N,10349.00160E,2.580572611,112.769019360,False
248,37148,True,1.345741956,103.816732708,1.345740920,103.816697779,0120.74446N,10349.00187E,2.408614158,104.369017474,False
249,37149,True,1.345738809,103.816743963,1.345726039,103.816712233,0120.74356N,10349.00273E,2.571170243,112.009917537,False
250,37150,True,1.345735663,103.816755218,1.345748414,103.816709502,0120.74490N,10349.00257E,2.669163318,107.481988063,False
251,37151,True,1.345732516,103.816766474,1.345726578,103.816725107,0120.74359N,10349.00351E,2.622253982,100.736612198,False
252,37152,True,1.345729370,103.816777729,1.345726953,103.816735661,0120.74362N,10349.00414E,2.906368515,104.837397923,False
253,37153,True,1.345726223,103.816788984,1.345725261,103.816748629,0120.74352N,10349.00492E,2.574068995,107.631503520,False
254,37154,True,1.345723076,103.816800239,1.345727075,103.816776122,0120.74362N,10349.00657E,2.722040348,104.835082605,False
255,37155,True,1.345719930,103.816811494,1.345709791,103.816768993,0120.74259N,10349.00614E,2.182035789,106.683566622,False
256,37156,True,1.345716783,103.816822749,1.345702103,103.816782220,0120.74213N,10349.00693E,2.537504440,106.926521629,False
257,37157,True,1.345713637,103.816834004,1.345704681,103.816801441,0120.74228N,10349.00809E,2.550817653,107.305223848,False
258,37158,True,1.345710490,103.816845260,1.345687439,103.816792349,0120.74125N,10349.00754E,2.551982374,100.202415023,False
259,37159,True,1.345707343,103.816856515,1.345696993,103.816812554,0120.74182N,10349.00875E,2.433395207,114.053518085,False
260,37160,True,1.345704197,103.816867770,1.345679925,103.816832238,0120.74080N,10349.00993E,2.837848738,110.948909613,False
261,37161,True,1.345701050,103.816879025,1.345691791,103.816854267,0120.74151N,10349.01126E,2.714770442,105.931314883,False
262,37162,True,1.345697903,103.816890280,1.345701561,103.816855204,0120.74209N,10349.01131E,2.288157397,105.212580435,False
263,37163,True,1.345694757,103.816901535,1.345689546,103.816855027,0120.74137N,10349.01130E,2.513096192,103.001531683,False
264,37164,True,1.345691610,103.816912790,1.345695964,103.816870492,0120.74176N,10349.01223E,2.421915983,108.263001875,False
265,37165,True,1.345688464,103.816924046,1.345685230,103.816895735,0120.74111N,10349.01374E,2.304339544,100.893149867,False
266,37166,True,1.345685317,103.816935301,1.345687641,103.816921593,0120.74126N,10349.01530E,2.736574324,103.471177762,False
267,37167,True,1.345682170,103.816946556,1.345665963,103.816929589,0120.73996N,10349.01578E,2.467542079,104.863241624,False
268,37168,True,1.345679024,103.816957811,1.345671371,103.816928988,0120.74028N,10349.01574E,2.350720981,102.647053534,False
269,37169,True,1.345675877,103.816969066,1.345682125,103.816943834,0120.74093N,10349.01663E,2.666962234,100.997770675,False
270,37170,True,1.345672731,103.816980321,1.345656681,103.816964766,0120.73940N,10349.01789E,2.432873367,106.565849798,False
271,37171,True,1.345669584,103.816991576,1.345669079,103.816969666,0120.74014N,10349.01818E,2.508395769,112.706983223,False
272,37172,True,1.345666437,103.817002832,1.345649495,103.816979636,0120.73897N,10349.01878E,2.734716350,106.581153751,False
273,37173,True,1.345663291,103.817014087,1.345660297,103.816985612,0120.73962N,10349.01914E,2.661455855,105.213203111,False
274,37174,True,1.345660144,103.817025342,1.345655490,103.817004981,0120.73933N,10349.02030E,2.870501351,104.453417619,False
275,37175,True,1.345656998,103.817036597,1.345642771,103.816997996,0120.73857N,10349.01988E,2.355962032,111.170299656,False
276,37176,True,1.345653851,103.817047852,1.345633555,103.817021334,0120.73801N,10349.02128E,2.490772505,107.309350892,False
277,37177,True,1.345650704,103.817059107,1.345636149,103.817033039,0120.73817N,10349.02198E,2.652418294,107.185938963,False
278,37178,True,1.345647558,103.817070362,1.345638863,103.817038765,0120.73833N,10349.02233E,2.696351960,102.197697496,False
279,37179,True,1.345644411,103.817081618,1.345629647,103.817059642,0120.73778N,10349.02358E,2.328725430,110.355182168,False
280,37180,True,1.345641265,103.817092873,1.345628351,103.817064595,0120.73770N,10349.02388E,2.493616961,104.140754546,False
281,37181,True,1.345638118,103.817104128,1.345634248,103.817089389,0120.73805N,10349.02536E,2.076867491,117.736406882,False
282,37182,True,1.345634971,103.817115383,1.345626022,103.817088010,0120.73756N,10349.02528E,2.646214719,109.499495986,False
283,37183,True,1.345631825,103.817126638,1.345618579,103.817105323,0120.73711N,10349.02632E,2.522979247,105.310902972,False
284,37184,True,1.345628678,103.817137893,1.345627182,103.817106802,0120.73763N,10349.02641E,2.635410019,109.874578734,False
285,37185,True,1.345625532,103.817149149,1.345633915,103.817126059,0120.73803N,10349.02756E,2.349913305,105.509949127,False
286,37186,True,1.345622385,103.817160404,1.345615135,103.817148611,0120.73691N,10349.02892E,2.275265677,104.235109150,False
287,37187,True,1.345619238,103.817171659,1.345607370,103.817152807,0120.73644N,10349.02917E,2.645158224,98.387597229,False
288,37188,True,1.345616092,103.817182914,1.345619205,103.817177912,0120.73715N,10349.03067E,2.677041081,98.661035638,False
289,37189,True,1.345612945,103.817194169,1.345613340,103.817181782,0120.73680N,10349.03091E,2.628566255,107.846032068,False
290,37190,True,1.345609799,103.817205424,1.345622919,103.817188151,0120.73738N,10349.03129E,2.588418058,101.999222929,False
291,37191,True,1.345606652,103.817216679,1.345608234,103.817187234,0120.73649N,10349.03123E,2.498210756,108.236100692,False
292,37192,True,1.345603505,103.817227935,1.345601197,103.817213374,0120.73607N,10349.03280E,2.115173011,103.456750078,False
293,37193,True,1.345600359,103.817239190,1.345592159,103.817219746,0120.73553N,10349.03318E,2.557164651,103.984945554,False
294,37194,True,1.345597212,103.817250445,1.345592851,103.817242478,0120.73557N,10349.03455E,2.446135084,105.667104828,False
295,37195,True,1.345594066,103.817261700,1.345602624,103.817263070,0120.73616N,10349.03578E,2.661946236,108.069387284,False
296,37196,True,1.345590919,103.817272955,1.345586564,103.817268731,0120.73519N,10349.03612E,2.466436649,113.394238525,False
297,37197,True,1.345587772,103.817284210,1.345588364,103.817273278,0120.73530N,10349.03640E,2.790146767,106.524119858,False
298,37198,True,1.345584626,103.817295465,1.345587197,103.817286685,0120.73523N,10349.03720E,2.535314633,106.415422162,False
299,37199,True,1.345581479,103.817306721,1.345573046,103.817302632,0120.73438N,10349.03816E,2.745351209,105.687710907,False
300,37200,True,1.345578332,103.817317976,1.345580337,103.817316305,0120.73482N,10349.03898E,2.532642275,116.276033405,False
301,37201,True,1.345575186,103.817329231,1.345559507,103.817321234,0120.73357N,10349.03927E,2.351584274,100.071165291,False
302,37202,True,1.345572039,103.817340486,1.345556847,103.817321592,0120.73341N,10349.03930E,2.672121897,109.982857896,False
303,37203,True,1.345568893,103.817351741,1.345550108,103.817351447,0120.73301N,10349.04109E,2.676053745,112.228022639,False
304,37204,True,1.345565746,103.817362996,1.345534520,103.817363793,0120.73207N,10349.04183E,2.312146994,105.409609208,False
305,37205,True,1.345562599,103.817374251,1.345551086,103.817367068,0120.73307N,10349.04202E,2.475493303,100.750461460,False
306,37206,True,1.345559453,103.817385507,1.345557304,103.817386805,0120.73344N,10349.04321E,2.698427109,114.742198538,False
307,37207,True,1.345556306,103.817396762,1.345545813,103.817399275,0120.73275N,10349.04396E,2.687083290,111.033915301,False
308,37208,True,1.345553160,103.817408017,1.345555816,103.817429818,0120.73335N,10349.04579E,2.717148906,106.266083357,False
309,37209,True,1.345550013,103.817419272,1.345532046,103.817420625,0120.73192N,10349.04524E,2.618438226,105.363311978,False
310,37210,True,1.345546866,103.817430527,1.345526080,103.817439772,0120.73156N,10349.04639E,2.751693130,105.182394910,False
311,37211,True,1.345543720,103.817441782,1.345531066,103.817450689,0120.73186N,10349.04704E,2.547724993,96.751872183,False
312,37212,True,1.345540573,103.817453037,1.345544077,103.817469688,0120.73264N,10349.04818E,2.378997931,110.233111373,False
313,37213,True,1.345537427,103.817464293,1.345545128,103.817487222,0120.73271N,10349.04923E,2.592167093,109.215291466,False
314,37214,True,1.345534280,103.817475548,1.345539560,103.817482268,0120.73237N,10349.04894E,2.512685292,104.394579117,False
315,37215,True,1.345531133,103.817486803,1.345525151,103.817510563,0120.73151N,10349.05063E,3.006840565,105.984553927,False
316,37216,True,1.345527987,103.817498058,1.345538891,103.817501778,0120.73233N,10349.05011E,2.142766270,106.140208452,False
317,37217,True,1.345524840,103.817509313,1.345526106,103.817519452,0120.73157N,10349.05117E,2.810038746,106.547927042,False
318,37218,True,1.345521694,103.817520568,1.345513830,103.817521267,0120.73083N,10349.05128E,2.333982991,106.400242473,False
319,37219,True,1.345518547,103.817531823,1.345516300,103.817534478,0120.73098N,10349.05207E,2.509177199,98.180494453,False
320,37220,True,1.345515400,103.817543079,1.345524882,103.817553991,0120.73149N,10349.05324E,2.661406431,101.246254485,False
321,37221,True,1.345512254,103.817554334,1.345525299,103.817574939,0120.73152N,10349.05450E,2.520200204,102.420349622,False
322,37222,True,1.345509107,103.817565589,1.345506229,103.817578694,0120.73037N,10349.05472E,2.926238761,106.088613165,False
323,37223,True,1.345505961,103.817576844,1.345505559,103.817577916,0120.73033N,10349.05467E,2.408024433,106.014055624,False
324,37224,True,1.345502814,103.817588099,1.345517901,103.817599491,0120.73107N,10349.05597E,2.885630212,103.318985951,False
325,37225,True,1.345499667,103.817599354,1.345498940,103.817609409,0120.72994N,10349.05656E,2.177525593,116.721858162,False
326,37226,True,1.345496521,103.817610609,1.345502356,103.817597390,0120.73014N,10349.05584E,2.436401968,114.539918068,False
327,37227,True,1.345493374,103.817621865,1.345494649,103.817630538,0120.72968N,10349.05783E,2.104724926,103.183512907,False
328,37228,True,1.345490227,103.817633120,1.345493658,103.817652398,0120.72962N,10349.05914E,2.998315734,105.820460748,False
329,37229,True,1.345487081,103.817644375,1.345480915,103.817653532,0120.72885N,10349.05921E,2.403568319,110.987142181,False
330,37230,True,1.345483934,103.817655630,1.345491429,103.817652886,0120.72949N,10349.05917E,2.740111769,106.428336152,False
331,37231,True,1.345480788,103.817666885,1.345489404,103.817667315,0120.72936N,10349.06004E,2.779890714,109.677043051,False
332,37232,True,1.345477641,103.817678140,1.345488715,103.817691793,0120.72932N,10349.06151E,2.779063564,99.790848835,False
333,37233,True,1.345474494,103.817689395,1.345478847,103.817700325,0120.72873N,10349.06202E,2.704241873,101.870526831,False
334,37234,True,1.345471348,103.817700651,1.345467879,103.817700546,0120.72807N,10349.06203E,2.740593863,108.865805401,False
335,37235,True,1.345468201,103.817711906,1.345482918,103.817699967,0120.72898N,10349.06200E,2.769263614,103.968545688,False
336,37236,True,1.345465055,103.817723161,1.345489831,103.817725652,0120.72939N,10349.06354E,2.610043383,101.054817079,False
337,37237,True,1.345461908,103.817734416,1.345474969,103.817729078,0120.72850N,10349.06374E,2.346407927,102.329486918,False
338,37238,True,1.345458761,103.817745671,1.345463848,103.817746795,0120.72783N,10349.06481E,3.990463737,127.415765761,False
339,37239,True,1.345446627,103.817759868,1.345450083,103.817761321,0120.72700N,10349.06568E,2.549576590,154.874010199,False
340,37240,True,1.345436708,103.817766139,1.345440424,103.817769848,0120.72643N,10349.06619E,3.023851490,151.203521983,False
341,37241,True,1.345426790,103.817772411,1.345429077,103.817771794,0120.72574N,10349.06631E,2.415006808,146.687903192,False
342,37242,True,1.345416871,103.817778682,1.345423838,103.817780502,0120.72543N,10349.06683E,2.541423491,146.023010228,False
343,37243,True,1.345406952,103.817784954,1.345404461,103.817787136,0120.72427N,10349.06723E,2.558026090,155.112043466,False
344,37244,True,1.345397033,103.817791225,1.345396414,103.817799014,0120.72378N,10349.06794E,2.380972302,143.065014480,False
345,37245,True,1.345387115,103.817797496,1.345396111,103.817810992,0120.72377N,10349.06866E,2.390740919,151.992741239,False
346,37246,True,1.345377196,103.817803768,1.345379522,103.817816551,0120.72277N,10349.06899E,2.360608489,148.488525229,False
347,37247,True,1.345367277,103.817810039,1.345370520,103.817813810,0120.72223N,10349.06883E,2.446778270,146.945117433,False
348,37248,True,1.345357359,103.817816311,1.345367183,103.817832403,0120.72203N,10349.06994E,2.544658424,147.197725000,False
349,37249,True,1.345347440,103.817822582,1.345358705,103.817819520,0120.72152N,10349.06917E,2.772352900,144.085958949,False
350,37250,True,1.345337521,103.817828854,1.345351616,103.817835439,0120.72110N,10349.07013E,2.236896010,141.260309573,False
351,37251,True,1.345327603,103.817835125,1.345336356,103.817842091,0120.72018N,10349.07053E,2.620827050,152.201285030,False
352,37252,True,1.345317684,103.817841396,1.345313696,103.817847553,0120.71882N,10349.07085E,2.554951072,144.213693995,False
353,37253,True,1.345307765,103.817847668,1.345311594,103.817851468,0120.71870N,10349.07109E,2.546617183,148.237766913,False
354,37254,True,1.345297846,103.817853939,1.345294217,103.817850734,0120.71765N,10349.07104E,2.473340928,145.749327827,False
355,37255,True,1.345287928,103.817860211,1.345313559,103.817874194,0120.71881N,10349.07245E,2.635490045,151.640378536,False
356,37256,True,1.345278009,103.817866482,1.345297366,103.817872507,0120.71784N,10349.07235E,2.580366329,146.299006788,False
357,37257,True,1.345268090,103.817872753,1.345277409,103.817882254,0120.71664N,10349.07294E,2.562761005,145.123268268,False
358,37258,True,1.345258172,103.817879025,1.345263021,103.817874863,0120.71578N,10349.07249E,2.866911118,153.467714103,False
359,37259,True,1.345248253,103.817885296,1.345257008,103.817889656,0120.71542N,10349.07338E,2.470623488,141.793952968,False
360,37260,True,1.345238334,103.817891568,1.345231459,103.817887230,0120.71389N,10349.07323E,2.557111229,153.085489117,False
361,37261,True,1.345228416,103.817897839,1.345230544,103.817915291,0120.71383N,10349.07492E,2.810397437,147.953082980,False
362,37262,True,1.345218497,103.817904110,1.345218389,103.817920463,0120.71310N,10349.07523E,2.231803671,144.662967092,False
363,37263,True,1.345208578,103.817910382,1.345220460,103.817928960,0120.71323N,10349.07574E,2.684300318,154.039300754,False
364,37264,True,1.345198659,103.817916653,1.345211798,103.817910892,0120.71271N,10349.07465E,2.247245957,143.926719075,False
365,37265,True,1.345188741,103.817922925,1.345182781,103.817940295,0120.71097N,10349.07642E,2.351853056,144.378507883,False
366,37266,True,1.345178822,103.817929196,1.345185363,103.817939957,0120.71112N,10349.07640E,2.284474783,154.904780205,False
367,37267,True,1.345168903,103.817935468,1.345184446,103.817950293,0120.71107N,10349.07702E,2.611064952,143.675093351,False
368,37268,True,1.345158985,103.817941739,1.345162295,103.817945806,0120.70974N,10349.07675E,2.890267705,146.552472913,False
369,37269,True,1.345149066,103.817948010,1.345154381,103.817949976,0120.70926N,10349.07700E,2.552389800,143.662291838,False
370,37270,True,1.345139147,103.817954282,1.345155581,103.817961047,0120.70933N,10349.07766E,1.886660426,147.360597022,False
371,37271,True,1.345129229,103.817960553,1.345139807,103.817970965,0120.70839N,10349.07826E,2.510507637,151.109791673,False
372,37272,True,1.345119310,103.817966825,1.345118822,103.817981107,0120.70713N,10349.07887E,2.620287502,156.512095168,False
373,37273,True,1.345109391,103.817973096,1.345114765,103.817986282,0120.70689N,10349.07918E,2.702272129,149.488430738,False
374,37274,True,1.345099472,103.817979367,1.345108641,103.818006093,0120.70652N,10349.08037E,2.493931889,147.245603610,False
375,37275,True,1.345089554,103.817985639,1.345096245,103.818004475,0120.70577N,10349.08027E,2.535115324,154.797911298,False
376,37276,True,1.345079635,103.817991910,1.345075528,103.818005755,0120.70453N,10349.08035E,2.340869860,148.624815879,False
377,37277,True,1.345069716,103.817998182,1.345066789,103.818012537,0120.70401N,10349.08075E,2.471180930,141.652634243,False
378,37278,True,1.345059798,103.818004453,1.345059158,103.818009426,0120.70355N,10349.08057E,2.845072690,152.237806649,False
379,37279,True,1.345049879,103.818010724,1.345054723,103.818023770,0120.70328N,10349.08143E,2.760981660,149.969376412,False
380,37280,True,1.345039960,103.818016996,1.345040065,103.818046640,0120.70240N,10349.08280E,2.356897208,148.211732239,False
381,37281,True,1.345030041,103.818023267,1.345040796,103.818046072,0120.70245N,10349.08276E,2.748453704,137.942318880,False
382,37282,True,1.345020123,103.818029539,1.345032976,103.818051196,0120.70198N,10349.08307E,2.688061538,146.254776709,False
383,37283,True,1.345010204,103.818035810,1.345020881,103.818043782,0120.70125N,10349.08263E,2.708426694,149.349200593,False
384,37284,True,1.345000285,103.818042081,1.345006263,103.818053047,0120.70038N,10349.08318E,2.503481862,142.565632986,False
385,37285,True,1.344990367,103.818048353,1.345006004,103.818048974,0120.70036N,10349.08294E,2.494044260,149.639882861,False
386,37286,True,1.344980448,103.818054624,1.344997240,103.818064475,0120.69983N,10349.08387E,2.703109886,165.330006083,False
387,37287,True,1.344970529,103.818060896,1.344972301,103.818068212,0120.69834N,10349.08409E,2.724234385,157.446255587,False
388,37288,True,1.344960611,103.818067167,1.344976869,103.818084920,0120.69861N,10349.08510E,3.003104202,146.445730103,False
389,37289,True,1.344950692,103.818073439,1.344963228,103.818072699,0120.69779N,10349.08436E,2.998693048,141.954595369,False
390,37290,True,1.344940773,103.818079710,1.344960022,103.818093982,0120.69760N,10349.08564E,2.436230940,151.612178321,False
391,37291,True,1.344930854,103.818085981,1.344957317,103.818091291,0120.69744N,10349.08548E,2.351803042,140.638186667,False
392,37292,True,1.344920936,103.818092253,1.344956585,103.818096402,0120.69740N,10349.08578E,2.672490021,144.207647567,False
393,37293,True,1.344911017,103.818098524,1.344925154,103.818103055,0120.69551N,10349.08618E,2.582653830,142.882269229,False
394,37294,True,1.344901098,103.818104796,1.344928089,103.818105747,0120.69569N,10349.08634E,2.061202382,146.010223316,False
395,37295,True,1.344891180,103.818111067,1.344918105,103.818120501,0120.69509N,10349.08723E,2.558718513,147.509196448,False
396,37296,True,1.344881261,103.818117338,1.344891314,103.818119376,0120.69348N,10349.08716E,2.430286779,141.636468567,False
397,37297,True,1.344871342,103.818123610,1.344890798,103.818131374,0120.69345N,10349.08788E,2.427953760,147.484957258,False
398,37298,True,1.344861424,103.818129881,1.344866818,103.818135652,0120.69201N,10349.08814E,2.408362208,150.400705259,False
399,37299,True,1.344851505,103.818136153,1.344866731,103.818151156,0120.69200N,10349.08907E,2.915276382,145.506429435,False
400,37300,True,1.344841586,103.818142424,1.344856517,103.818152069,0120.69139N,10349.08912E,2.288125082,143.613707980,False
401,37301,True,1.344831667,103.818148695,1.344838152,103.818156406,0120.69029N,10349.08938E,2.581870530,137.557974948,False
402,37302,True,1.344821749,103.818154967,1.344827782,103.818168129,0120.68967N,10349.09009E,2.555706315,147.180263659,False
403,37303,True,1.344811830,103.818161238,1.344821515,103.818158628,0120.68929N,10349.08952E,2.247539001,144.630730512,False
404,37304,True,1.344801911,103.818167510,1.344827337,103.818176518,0120.68964N,10349.09059E,2.536610862,151.636173989,False
405,37305,True,1.344791993,103.818173781,1.344798473,103.818174169,0120.68791N,10349.09045E,2.573064338,150.838085746,False
406,37306,True,1.344782074,103.818180052,1.344812926,103.818173384,0120.68878N,10349.09040E,2.780367123,148.770597305,False
407,37307,True,1.344772155,103.818186324,1.344791203,103.818171878,0120.68747N,10349.09031E,2.864799054,147.339358731,False
408,37308,True,1.344762237,103.818192595,1.344786458,103.818188721,0120.68719N,10349.09132E,2.810186240,145.108935148,False
409,37309,True,1.344752318,103.818198867,1.344767296,103.818197877,0120.68604N,10349.09187E,2.500862610,147.513076720,False
410,37310,True,1.344742399,103.818205138,1.344748006,103.818213725,0120.68488N,10349.09282E,2.765055662,158.144966256,False
411,37311,True,1.344732480,103.818211409,1.344738667,103.818223407,0120.68432N,10349.09340E,2.198009941,150.980622310,False
412,37312,True,1.344722562,103.818217681,1.344730186,103.818221021,0120.68381N,10349.09326E,2.670249026,139.228328877,False
413,37313,True,1.344712643,103.818223952,1.344716544,103.818235157,0120.68299N,10349.09411E,2.776746247,151.901147115,False
414,37314,True,1.344702724,103.818230224,1.344710399,103.818236550,0120.68262N,10349.09419E,2.632391478,159.612058073,False
415,37315,True,1.344692806,103.818236495,1.344702783,103.818242150,0120.68217N,10349.09453E,2.628829665,148.490787482,False
416,37316,True,1.344682887,103.818242767,1.344695312,103.818262597,0120.68172N,10349.09576E,2.285565585,150.640130976,False
417,37317,True,1.344672968,103.818249038,1.344689527,103.818261144,0120.68137N,10349.09567E,2.511591719,146.835244690,False
418,37318,True,1.344663050,103.818255309,1.344674043,103.818268158,0120.68044N,10349.09609E,2.649164283,141.354985404,False
419,37319,True,1.344653131,103.818261581,1.344665611,103.818266272,0120.67994N,10349.09598E,2.790567286,148.141020526,False
420,37320,True,1.344643212,103.818267852,1.344647608,103.818270578,0120.67886N,10349.09623E,2.634194353,144.134312360,False
421,37321,True,1.344633293,103.818274124,1.344651681,103.818283426,0120.67910N,10349.09701E,2.844852165,151.606039734,False
422,37322,True,1.344623375,103.818280395,1.344636472,103.818274866,0120.67819N,10349.09649E,2.404296247,143.450297254,False
423,37323,True,1.344613456,103.818286666,1.344622935,103.818301391,0120.67738N,10349.09808E,2.623816281,145.219226508,False
424,37324,True,1.344603537,103.818292938,1.344627608,103.818292283,0120.67766N,10349.09754E,2.385090609,155.003729491,False
425,37325,True,1.344593619,103.818299209,1.344600825,103.818291761,0120.67605N,10349.09751E,2.540713237,144.267129123,False
426,37326,True,1.344583700,103.818305481,1.344608896,103.818313775,0120.67653N,10349.09883E,2.390049264,154.400282309,False
427,37327,True,1.344573781,103.818311752,1.344580557,103.818299785,0120.67483N,10349.09799E,2.498265445,154.970166020,False
428,37328,True,1.344563862,103.818318023,1.344591551,103.818293260,0120.67549N,10349.09760E,2.585032919,148.719467877,False
429,37329,True,1.344553944,103.818324295,1.344572436,103.818299068,0120.67435N,10349.09794E,2.803908377,149.480370757,False
430,37330,True,1.344544025,103.818330566,1.344567571,103.818310002,0120.67405N,10349.09860E,2.460657976,148.569724816,False
431,37331,True,1.344534106,103.818336838,1.344576528,103.818331210,0120.67459N,10349.09987E,2.616903074,151.663185546,False
432,37332,True,1.344524188,103.818343109,1.344551080,103.818327869,0120.67306N,10349.09967E,2.781755646,149.896363244,False
433,37333,True,1.344514269,103.818349380,1.344532671,103.818329412,0120.67196N,10349.09976E,2.573330742,158.023658439,False
434,37334,True,1.344504350,103.818355652,1.344528651,103.818360323,0120.67172N,10349.10162E,2.841513742,148.745404364,False
435,37335,True,1.344494432,103.818361923,1.344497647,103.818361193,0120.66986N,10349.10167E,2.467564182,145.483380165,False
436,37336,True,1.344484513,103.818368195,1.344496088,103.818363903,0120.66977N,10349.10183E,2.501755003,150.013053518,False
437,37337,True,1.344474594,103.818374466,1.344493218,103.818389463,0120.66959N,10349.10337E,2.579466516,144.243509690,False
438,37338,True,1.344464675,103.818380737,1.344488647,103.818383901,0120.66932N,10349.10303E,2.732565116,99.404896047,False
439,37339,True,1.344463678,103.818394113,1.344462513,103.818396687,0120.66775N,10349.10380E,2.344461345,82.818982685,False
440,37340,True,1.344465611,103.818405635,1.344463003,103.818423495,0120.66778N,10349.10541E,2.615251387,74.927449940,False
441,37341,True,1.344467544,103.818417157,1.344476839,103.818424996,0120.66861N,10349.10550E,2.441601666,80.130586726,False
442,37342,True,1.344469476,103.818428680,1.344485195,103.818431365,0120.66911N,10349.10588E,2.398799488,87.655152115,False
443,37343,True,1.344471409,103.818440202,1.344489633,103.818446017,0120.66938N,10349.10676E,2.726391869,79.413511293,False
444,37344,True,1.344473342,103.818451724,1.344489710,103.818462441,0120.66938N,10349.10775E,2.691767820,76.780058386,False
445,37345,True,1.344475275,103.818463247,1.344495988,103.818478611,0120.66976N,10349.10872E,2.545725934,80.200496280,False
446,37346,True,1.344477208,103.818474769,1.344479651,103.818479021,0120.66878N,10349.10874E,2.686006915,75.520654975,False
447,37347,True,1.344479140,103.818486291,1.344486282,103.818498604,0120.66918N,10349.10992E,3.209490815,72.735191788,False
448,37348,True,1.344481073,103.818497814,1.344483828,103.818510105,0120.66903N,10349.11061E,2.465182756,81.587374190,False
449,37349,True,1.344483006,103.818509336,1.344479669,103.818507985,0120.66878N,10349.11048E,2.269488452,81.947166041,False
450,37350,True,1.344484939,103.818520858,1.344483293,103.818523291,0120.66900N,10349.11140E,2.268608585,73.551780307,False
451,37351,True,1.344486872,103.818532381,1.344484463,103.818547091,0120.66907N,10349.11283E,2.350107624,86.171615922,False
452,37352,True,1.344488804,103.818543903,1.344495650,103.818541840,0120.66974N,10349.11251E,2.534591741,84.759375075,False
453,37353,True,1.344490737,103.818555426,1.344491807,103.818539230,0120.66951N,10349.11235E,2.742748136,85.370467253,False
454,37354,True,1.344492670,103.818566948,1.344479000,103.818550709,0120.66874N,10349.11304E,2.485857096,76.133567282,False
455,37355,True,1.344494603,103.818578470,1.344499714,103.818570288,0120.66998N,10349.11422E,2.605716105,74.177486820,False
456,37356,True,1.344496536,103.818589993,1.344503934,103.818586079,0120.67024N,10349.11516E,2.197569560,78.998142087,False
457,37357,True,1.344498469,103.818601515,1.344509058,103.818581219,0120.67054N,10349.11487E,2.491818672,87.762131340,False
458,37358,True,1.344500401,103.818613037,1.344514481,103.818628642,0120.67087N,10349.11772E,2.530783417,75.683928742,False
459,37359,True,1.344502334,103.818624560,1.344509080,103.818627895,0120.67054N,10349.11767E,2.476337180,77.865302731,False
460,37360,True,1.344504267,103.818636082,1.344508407,103.818640800,0120.67050N,10349.11845E,2.594583017,87.392635088,False
461,37361,True,1.344506200,103.818647604,1.344508418,103.818633414,0120.67051N,10349.11800E,2.461941664,73.997787202,False
462,37362,True,1.344508133,103.818659127,1.344514564,103.818650504,0120.67087N,10349.11903E,2.472311366,88.163637173,False
463,37363,True,1.344510065,103.818670649,1.344510798,103.818667988,0120.67065N,10349.12008E,2.375512526,86.317665156,False
464,37364,True,1.344511998,103.818682171,1.344505641,103.818679449,0120.67034N,10349.12077E,2.482336225,83.514413445,False
465,37365,True,1.344513931,103.818693694,1.344514191,103.818687570,0120.67085N,10349.12125E,2.535505754,83.420799851,False
466,37366,True,1.344515864,103.818705216,1.344515553,103.818699414,0120.67093N,10349.12196E,2.467135204,83.356978076,False
467,37367,True,1.344517797,103.818716739,1.344516171,103.818708524,0120.67097N,10349.12251E,2.779211297,80.032886628,False
468,37368,True,1.344519729,103.818728261,1.344529105,103.818717300,0120.67175N,10349.12304E,2.636410500,80.603382287,False
469,37369,True,1.344521662,103.818739783,1.344531384,103.818728172,0120.67188N,10349.12369E,2.507108942,83.528117985,False
470,37370,True,1.344523595,103.818751306,1.344517118,103.818741708,0120.67103N,10349.12450E,2.704222463,74.265183222,False
